Item,a1,a2,a3,ak0,ak1,ak2,ak3,ak4,ak5,ak6,ak7,ak8,ak9,Codes Used,Item Type,Model Required,d0,d1,d2,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V218,-0.693933406,0.296931905,-0.706830612,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,3.719546475,4.048208589,3,3.718881522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V223,-0.885539854,0.130261834,-0.150691223,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,0.658521961,0.419329058,3,0.556077445,4,1.686572357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V224,-0.016651919,-0.100151269,0.445091226,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-0.325083572,-3.585907471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V219,-1.62099943,0.144952707,0.480501517,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-4.708271056,-6.513570756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V220,-0.410718775,-0.22276864,-0.363021108,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,0.094065269,-1.421741375,3,-2.622750145,4,-2.0100229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V221,0.14137253,-0.068913186,-0.077088767,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,0.204548639,-1.59101532,3,-1.101694119,4,-0.050019665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V222,-1.116480983,0.277631345,-0.771886167,0,1,2,3,4,NA,NA,NA,NA,NA,5,Ordered,gpcm,0,4.037794739,4.163401734,3,5.604315936,4,7.120061387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V143,1.722057327,-0.710327764,0.33356257,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.059892173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V145,1.312602481,-1.071060124,0.258104986,0,1,2,3,4,5,6,NA,NA,NA,7,Ordered,gpcm,0,4.141995649,5.003912568,3,6.310386254,4,4.474109598,5,6,3.322323302,1.37758874,NA,NA,NA,NA,NA,NA
V146,1.784823239,-1.635091403,0.713504652,0,1,2,3,4,5,6,7,NA,NA,8,Ordered,gpcm,0,1.878911188,2.317177309,3,1.48492041,4,-0.11065856,5,6,-2.89424642,-4.538241344,7,-7.223490368,NA,NA,NA,NA
V153,6.035987489,-3.093486631,3.260585187,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,6.948561045,8.529011068,3,-2.339987102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V154,4.932380744,0.420272742,2.821376707,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,4.750874788,6.660385036,3,-2.507507671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V155,0.130324689,-1.104584727,-1.384903875,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,4.499745589,5.48643311,3,1.759744794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V156,-0.706981467,-0.665694282,-1.058562009,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-2.496102209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
