"","V161","V162","V163"
"909",4,4,4
"910",4,4,2
"911",4,4,4
"912",4,4,4
"913",4,4,4
"914",4,1,3
"915",4,4,4
"916",4,4,4
"917",4,4,4
"918",4,4,4
"919",4,4,4
"920",4,4,4
"921",0,0,0
"922",0,0,0
"923",1,1,2
"924",2,0,2
"925",1,0,0
"926",0,0,0
"927",2,3,4
"928",-2,-2,-2
"929",-2,-2,-2
"930",0,1,1
"931",-2,4,-2
"932",2,4,4
"933",3,2,4
"934",3,4,4
"935",3,2,3
"936",3,3,3
"937",3,3,2
"938",2,1,2
"939",4,0,4
"940",1,3,4
"941",2,1,0
"942",1,4,2
"943",1,3,2
"944",2,3,2
"945",2,2,2
"946",3,1,2
"947",2,0,3
"948",2,1,4
"949",2,0,0
"950",2,3,2
"951",2,2,2
"952",1,1,1
"953",2,2,2
"954",3,1,1
"955",2,3,3
"956",1,2,2
"957",0,0,0
"958",2,3,3
"959",1,1,1
"960",4,1,1
"961",3,1,4
"962",3,2,4
"963",3,2,4
"964",2,2,4
"965",1,1,3
"966",-2,-2,-2
"967",0,0,0
"968",2,3,3
"969",3,3,3
"970",4,0,0
"971",2,2,4
"972",2,2,2
"973",4,4,4
"974",3,3,3
"975",4,4,4
"976",3,4,3
"977",4,4,4
"978",-2,-2,-2
"979",4,4,4
"980",4,4,4
"981",2,3,3
"982",2,3,4
"983",2,3,4
"984",2,1,3
"985",3,4,4
"986",1,2,3
"987",2,3,4
"988",2,3,4
"989",2,3,4
"990",2,2,3
"991",3,4,4
"992",4,4,4
"993",4,4,4
"994",-2,-2,4
"995",1,1,1
"996",0,3,3
"997",0,-2,4
"998",0,0,4
"999",2,2,3
"1000",-2,-2,-2
"1001",0,0,4
"1002",4,4,4
"1003",4,4,4
"1004",4,4,4
"1005",4,4,4
"1006",0,0,3
"1007",1,4,4
"1008",3,3,3
"1009",4,4,4
"1010",-2,-2,-2
"1011",0,0,1
"1012",1,1,4
"1013",1,1,4
"1014",4,4,4
"1015",0,1,4
"1016",1,2,4
"1017",2,2,2
"1018",4,4,4
"1019",0,0,3
"1020",0,0,0
"1021",4,4,4
"1022",4,4,4
"1023",4,4,4
"1024",4,4,4
"1025",3,3,3
"1026",4,4,4
"1027",4,4,4
"1028",4,4,4
"1029",4,4,4
"1030",2,2,2
"1031",4,4,4
"1032",4,4,4
"1033",3,3,3
"1034",4,4,4
"1035",4,4,4
"1036",2,2,2
"1037",4,4,4
"1038",3,3,3
"1039",3,3,3
"1040",4,4,4
"1041",0,-2,4
"1042",0,-2,4
"1043",2,2,2
"1044",3,2,2
"1045",3,2,2
"1046",2,2,2
"1047",2,2,2
"1048",-2,-2,-2
"1049",2,2,2
"1050",2,2,2
"1051",1,2,4
"1052",2,3,3
"1053",2,0,4
"1054",4,3,4
"1055",3,3,4
"1056",3,2,4
"1057",4,3,1
"1058",3,3,3
"1059",3,3,3
"1060",-2,-2,-2
"1061",3,4,3
"1062",4,4,4
"1063",-2,-2,4
"1064",3,0,4
"1065",2,2,2
"1066",0,4,4
"1067",0,1,0
"1068",2,2,2
"1069",1,2,3
"1070",4,4,4
"1071",4,4,4
"1072",-2,-2,-2
"1073",3,3,3
"1074",-2,-2,-2
"1075",0,2,4
"1076",-2,2,0
"1077",-2,-2,-2
"1078",4,4,4
"1079",-2,-2,-2
"1080",-2,-2,-2
"1081",4,4,4
"1082",3,3,4
"1083",3,3,3
"1084",3,1,4
"1085",4,4,4
"1086",3,3,4
"1087",2,2,4
"1088",3,3,4
"1089",4,4,4
"1090",3,2,3
"1091",2,2,2
"1092",0,1,0
"1093",3,4,4
"1094",0,0,4
"1095",2,4,4
"1096",3,1,3
"1097",2,2,2
"1098",3,3,3
"1099",2,2,2
"1100",0,1,0
"1101",2,2,2
"1102",4,4,4
"1103",-2,-2,4
"1104",4,4,4
"1105",1,2,3
"1106",4,4,4
"1107",3,3,4
"1108",4,4,4
"1109",3,3,3
"1110",0,0,0
"1111",0,-2,4
"1112",4,4,2
"1113",2,2,2
"1114",2,2,2
"1115",3,3,3
"1116",2,2,2
"1117",2,2,2
"1118",2,2,2
"1119",-2,-2,-2
"1120",2,2,2
"1121",3,2,2
"1122",2,2,2
"1123",0,-2,4
"1124",2,2,2
"1125",2,2,2
"1126",2,2,2
"1127",2,2,2
"1128",2,2,2
"1129",2,2,2
"1130",2,2,2
"1131",2,1,3
"1132",2,4,4
"1133",3,0,3
"1134",3,2,3
"1135",3,1,4
"1136",3,0,2
"1137",3,2,3
"1138",3,1,3
"1139",3,2,3
"1140",2,1,3
"1141",4,1,2
"1142",2,2,2
"1143",1,1,1
"1144",1,0,2
"1145",3,1,2
"1146",2,2,2
"1147",3,0,3
"1148",3,3,3
"1149",2,1,3
"1150",3,0,4
"1151",4,4,4
"1152",4,3,3
"1153",4,4,4
"1154",-2,-2,-2
"1155",-2,-2,-2
"1156",4,4,4
"1157",0,0,0
"1158",0,4,4
"1159",2,2,2
"1160",-2,-2,-2
"1161",-2,-2,4
"1162",0,0,4
"1163",2,2,4
"1164",4,4,4
"1165",0,2,4
"1166",2,2,2
"1167",0,2,4
"1168",0,3,4
"1169",0,4,4
"1170",4,4,4
"1171",3,3,3
"1172",2,2,2
"1173",2,2,2
"1174",3,3,3
"1175",3,3,3
"1176",3,3,3
"1177",2,2,2
"1178",3,3,3
"1179",3,3,3
"1180",0,0,0
"1181",3,1,3
"1182",1,0,2
"1183",4,1,4
"1184",3,2,3
"1185",3,2,3
"1186",4,0,4
"1187",2,0,3
"1188",3,1,3
"1189",0,2,4
"1190",3,2,2
"1191",3,1,2
"1192",3,1,2
"1193",3,2,3
"1194",3,1,2
"1195",3,1,3
"1196",3,0,2
"1197",1,0,3
"1198",4,4,4
"1199",1,0,1
"1200",2,0,2
"1201",2,2,2
"1202",2,1,2
"1203",2,2,2
"1204",2,2,1
"1205",1,3,3
"1206",2,2,3
"1207",0,0,2
"1208",3,0,4
"1209",3,2,3
"1210",3,2,3
"1211",3,2,4
"1212",3,2,3
"1213",3,0,3
"1214",2,0,3
"1215",2,1,3
"1216",0,1,3
"1217",2,1,3
"1218",2,0,4
"1219",4,3,4
"1220",3,1,3
"1221",3,3,3
"1222",2,1,0
"1223",4,3,3
"1224",2,4,4
"1225",3,3,4
"1226",3,2,4
"1227",4,0,0
"1228",2,3,3
"1229",2,1,1
"1230",1,1,1
"1231",4,4,3
"1232",4,3,4
"1233",3,3,3
"1234",3,3,3
"1235",3,3,4
"1236",3,3,3
"1237",3,1,1
"1238",3,1,3
"1239",2,2,2
"1240",2,1,3
"1241",2,3,2
"1242",2,3,3
"1243",1,1,2
"1244",1,1,3
"1245",2,3,2
