Country,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guinea,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.014
Haiti,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,Million Kw,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.102,0.102,0.15,0.18
Hong Kong,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0,0,0,0
Hungary,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),0.017,0.033,0.061,0.134,0.203,0.293,0.331,0.325,0.329,0.329,0.329
Iceland,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003
India,Million Kw,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),0,0,0,0,0,0,0,0,0,0,0,5.3,6.2,7.8,10,11,13.065,16.084,18.421,20.15,22.465,24.76
Indonesia,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0.0001,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Iran,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.022,0.048,0.067,0.082,0.091,0.1,0.1,0.1,0.1,0.118,0.118
Iraq,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),0,0,0,0,0,0.517,0.749,0.98,1.03,1.266,1.374,1.631,1.764,1.941,2.211,2.44
Israel,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Italy,Million Kw,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),0,0,0,0,0,0,0,0,1.635,1.902,2.702,3.525,4.879,5.794,6.918,8.102,8.542,8.683,9.137
Jamaica,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.021,0.021,0.021,0.021,0.0297,0.0297,0.0477,0.0477,0.0477,0.048,0.048
