"","","","R_squared","P_Values"
"230","V153_4","V9_4","0.703475191373047","1.94320425256373e-14"
"231","V106_2","V107_2","0.706493506493507","1.47736533975171e-14"
"232","V106_3","V107_3","0.754140994629831","2.29417317094532e-16"
"233","V106_4","V107_4","0.732467532467532","1.55900270808093e-15"
"234","V107_2","V106_2","0.706493506493507","1.47736533975171e-14"
"235","V107_3","V106_3","0.754140994629831","2.29417317094532e-16"
"236","V107_4","V106_4","0.732467532467532","1.55900270808093e-15"
"237","V212_2","V213_2","0.726859408260793","2.5994621772963e-15"
"238","V213_2","V212_2","0.726859408260793","2.5994621772963e-15"
"239","V213_2","V214_2","0.771029595715426","4.88739712242295e-17"
"240","V214_2","V213_2","0.771029595715426","4.88739712242295e-17"
"241","V243_1_Ref","V244_1_Ref","0.918600899034736","2.83358996495683e-23"
"242","V244_1_Ref","V243_1_Ref","0.918600899034736","2.83358996495683e-23"
"243","V179_1_Ref","V180_1_Ref","0.755844155844156","1.92585168856696e-16"
"244","V180_1_Ref","V179_1_Ref","0.755844155844156","1.92585168856696e-16"
"245","V181_1_Ref","V182_1_Ref","0.798701298701299","3.52781204188623e-18"
"246","V181_4","V182_4","0.803507674726185","2.27485485621957e-18"
"247","V182_1_Ref","V181_1_Ref","0.798701298701299","3.52781204188623e-18"
"248","V182_4","V181_4","0.803507674726185","2.27485485621957e-18"
"249","V183_1_Ref","V184_1_Ref","0.887012987012987","4.71584921425613e-22"
"250","V183_1_Ref","V184_3","-0.764935064935065","8.39337417522962e-17"
"251","V183_1_Ref","V185_1_Ref","0.800909428405325","2.92075097741247e-18"
"252","V183_2","V184_2","0.707372560854338","1.39583945870471e-14"
"253","V183_3","V184_1_Ref","-0.727272727272727","2.45986166077624e-15"
"254","V183_3","V184_3","0.838961038961039","6.77096704315715e-20"
"255","V183_3","V185_3","0.703896103896104","1.84192460123084e-14"
"256","V183_4","V184_4","0.831168831168831","1.47698961262382e-19"
"257","V183_4","V185_4","0.767532467532468","6.60865177164565e-17"
"258","V184_1_Ref","V183_1_Ref","0.887012987012987","4.71584921425613e-22"
"259","V184_1_Ref","V183_3","-0.727272727272727","2.45986166077624e-15"
