"","V2","V258","V45","V46"
"910",12,1,2,-4
"911",12,1,1,-4
"912",12,1,2,-4
"913",12,1,2,-4
"914",12,1,1,-4
"915",12,1,2,-4
"916",12,1,-2,-4
"917",12,1,2,-4
"918",12,1,2,-4
"919",12,1,3,-4
"920",12,1,1,-4
"921",12,1,2,-4
"922",12,1,1,-4
"923",12,1,2,-4
"924",12,1,1,-4
"925",12,1,3,-4
"926",12,1,-2,-4
"927",12,1,1,-4
"928",12,1,-2,-4
"929",12,1,1,-4
"930",12,1,3,-4
"931",12,1,2,-4
"932",12,1,1,-4
"933",12,1,1,-4
"934",12,1,3,-4
"935",12,1,1,-4
"936",12,1,1,-4
"937",12,1,1,-4
"938",12,1,1,-4
"939",12,1,3,-4
"940",12,1,1,-4
"941",12,1,2,-4
"942",12,1,1,-4
"943",12,1,3,-4
"944",12,1,2,-4
"945",12,1,1,-4
"946",12,1,2,-4
"947",12,1,1,-4
"948",12,1,2,-4
"949",12,1,1,-4
"950",12,1,1,-4
"951",12,1,1,-4
"952",12,1,1,-4
"953",12,1,1,-4
"954",12,1,2,-4
"955",12,1,2,-4
"956",12,1,2,-4
"957",12,1,1,-4
"958",12,1,1,-4
"959",12,1,1,-4
"960",12,1,1,-4
"961",12,1,3,-4
"962",12,1,3,-4
"963",12,1,3,-4
"964",12,1,1,-4
"965",12,1,1,-4
"966",12,1,1,-4
"967",12,1,1,-4
"968",12,1,1,-4
"969",12,1,1,-4
"970",12,1,3,-4
"971",12,1,2,-4
"972",12,1,1,-4
"973",12,1,1,-4
"974",12,1,-2,-4
"975",12,1,1,-4
"976",12,1,1,-4
"977",12,1,1,-4
"978",12,1,1,-4
"979",12,1,2,-4
"980",12,1,2,-4
"981",12,1,2,-4
"982",12,1,3,-4
"983",12,1,2,-4
"984",12,1,2,-4
"985",12,1,2,-4
"986",12,1,2,-4
"987",12,1,3,-4
"988",12,1,2,-4
"989",12,1,3,-4
"990",12,1,3,-4
"991",12,1,3,-4
"992",12,1,2,-4
"993",12,1,2,-4
"994",12,1,2,-4
"995",12,1,2,-4
"996",12,1,1,-4
"997",12,1,1,-4
"998",12,1,1,-4
"999",12,1,1,-4
"1000",12,1,2,-4
"1001",12,1,1,-4
"1002",12,1,3,-4
"1003",12,1,1,-4
"1004",12,1,2,-4
"1005",12,1,1,-4
"1006",12,1,3,-4
"1007",12,1,2,-4
"1008",12,1,2,-4
"1009",12,1,1,-4
"1010",12,1,1,-4
"1011",12,1,2,-4
"1012",12,1,2,-4
"1013",12,1,2,-4
